ID,Counties,Absentee by Mail Votes,Advance Voting Votes,Election Day Votes,Provisional Votes,Total
Walker Chickamauga,Chickamauga,81,1801,1197,0,3079
Walker Fairyland,Fairyland,17,223,287,0,527
Walker Fairview,Fairview,40,422,507,2,971
Walton Bold Springs,Bold Springs,68,1189,1216,1,2474
Walton Whatley,Whatley,32,484,375,0,891
Walton Walker Park,Walker Park,78,1024,878,0,1980
Walton Gratis,Gratis,27,353,438,0,818
Walton Between,Between,54,1450,1091,0,2595
Walton Walnut Grove,Walnut Grove,22,595,604,0,1221
Walton Loganvile North,Loganvile North,76,1061,640,0,1777
Walton Social Circle,Social Circle,47,1183,745,0,1975
Walton South Monroe,South Monroe,59,955,466,0,1480
Walton North Monroe,North Monroe,32,489,445,0,966
Walton Loganville South,Loganville South,49,780,467,0,1296
Walton West Walton,West Walton,49,1099,801,1,1950
Walton Broken Arrow,Broken Arrow,63,1023,822,0,1908
Walton Bay Creek,Bay Creek,54,963,576,1,1594
Walton E Monroe,E Monroe,41,582,515,0,1138
Walton W Monroe,W Monroe,27,661,427,2,1117
Walton Tara,Tara,34,783,406,0,1223
Walton Mountain,Mountain,41,374,494,0,909
Walton Jersey,Jersey,24,476,676,0,1176
Walton Blasingame,Blasingame,15,255,427,1,698
Walton Good Hope,Good Hope,32,512,823,0,1367
Ware 100 - City Auditorium,100 - City Auditorium,30,269,122,1,422
Ware 200A - Memorial Stadium,200A - Memorial Stadium,86,1096,330,0,1512
Ware 200B - City Auditorium,200B - City Auditorium,32,238,65,0,335
Ware 300 - Ware BoE Transportation,300 - Ware BoE Transportation,96,851,507,1,1455
Ware 304 - Ware BoE Learning Center,304 - Ware BoE Learning Center,15,184,180,0,379
Ware 400 - Second Baptist Church,400 - Second Baptist Church,8,223,592,0,823
Ware 404 - Bickley UM Church,404 - Bickley UM Church,6,64,170,1,241
Ware 405 - Haywood Baptist Church,405 - Haywood Baptist Church,6,111,242,0,359
Ware 406 - Jamestown Baptist Church,406 - Jamestown Baptist Church,23,380,419,0,822
Ware 407 - Manor Commmunity Center,407 - Manor Commmunity Center,12,98,247,0,357
Ware 408 - Millwood Baptist Church,408 - Millwood Baptist Church,2,56,226,1,285
Ware 409 - Waresboro Church of God,409 - Waresboro Church of God,15,252,310,0,577
Warren Warrenton,Warrenton,63,626,318,0,1007
Washington Riddleville,Riddleville,7,88,149,0,244
Washington Warthen,Warthen,7,94,170,0,271
Washington Tennille,Tennille,26,333,250,1,610
Washington Oconee,Oconee,9,57,139,0,205
Washington Harrison,Harrison,14,167,232,1,414
Washington Davisboro,Davisboro,16,115,177,0,308
Washington Sandersville,Sandersville,89,1020,475,0,1584
Washington Deepstep,Deepstep,7,63,198,0,268
Wayne Odum,Odum,15,295,468,1,779
Wayne Madray Springs,Madray Springs,22,348,325,0,695
Wayne Oglethorpe,Oglethorpe,28,484,379,0,891
Wayne Screven,Screven,21,378,571,0,970
Wayne Empire,Empire,21,280,298,0,599
Wayne Red Hill,Red Hill,12,212,183,0,407
Wayne Altamaha,Altamaha,41,669,316,0,1026
Wayne Gardi,Gardi,24,222,352,0,598
Wayne VFW,VFW,6,54,43,0,103
Wayne Pine Street,Pine Street,14,217,113,0,344
Wayne Unity,Unity,44,389,276,0,709
Wayne Rec Center,Rec Center,28,324,365,0,717
Webster Preston 1,Preston 1,60,411,205,0,676
Wheeler Alamo,Alamo,31,403,315,2,751
Wheeler Glenwood,Glenwood,16,229,270,0,515
White Blue Creek,Blue Creek,52,631,506,0,1189
White Blue Ridge,Blue Ridge,20,284,233,0,537
White Robertstown-Helen,Robertstown-Helen,15,213,216,0,444
White Mossy Creek,Mossy Creek,56,821,790,1,1668
White Mt Yonah,Mt Yonah,93,1298,714,1,2106
White Nacoochee,Nacoochee,37,425,260,0,722
White Shoal Creek,Shoal Creek,35,579,589,0,1203
White Tesnatee,Tesnatee,24,360,232,0,616
White Town Creek,Town Creek,29,398,383,0,810
White White Creek,White Creek,47,470,437,0,954
Whitefield 1A,1A,34,196,165,0,395
Whitefield 2A,2A,32,602,493,1,1128
Whitefield 3A,3A,20,363,390,0,773
Whitefield 4A,4A,21,464,425,1,911
Whitefield 5A,5A,3,48,133,0,184
Whitefield 6A,6A,5,63,76,0,144
Whitefield AN,AN,11,143,254,0,408
Whitefield CA,CA,17,187,515,1,720
Whitefield CO,CO,9,148,510,2,669
Whitefield DG,DG,44,431,709,1,1185
Whitefield ES,ES,11,166,283,0,460
Whitefield FI,FI,25,210,477,0,712
Whitefield GL,GL,26,332,468,1,827
Whitefield LT,LT,21,228,384,1,634
Whitefield MC,MC,13,249,584,1,847
Whitefield NI,NI,18,320,763,1,1102
Whitefield PG,PG,71,747,924,0,1742
Whitefield TH,TH,39,532,978,2,1551
Whitefield TI,TI,1,54,235,1,291
Whitefield TR,TR,22,250,493,0,765
Whitefield UT,UT,7,128,393,0,528
Whitefield VA,VA,58,801,1352,4,2215
Whitefield WS,WS,36,478,681,1,1196
Wilcox Rochelle North #1,Rochelle North #1,3,26,32,0,61
Wilcox Abbeville North #2,Abbeville North #2,3,73,53,0,129
Wilcox Pineview #2,Pineview #2,9,63,150,0,222
Wilcox Pitts #3,Pitts #3,8,146,307,0,461
Wilcox Rochelle South #4,Rochelle South #4,16,233,299,0,548
Wilcox Abbeville South #5,Abbeville South #5,32,316,178,0,526
Wilkes Senior Citizen Center,Senior Citizen Center,15,192,110,0,317
Wilkes Young Famer's Bldg,Young Famer's Bldg,21,333,261,0,615
Wilkes Metasville Fire Sta,Metasville Fire Sta,10,125,175,0,310
