ID,Counties,Absentee by Mail Votes,Advance Voting Votes,Election Day Votes,Provisional Votes,Total
Jenkins Senior Citizens Center,Senior Citizens Center,5,70,22,0,97
Jenkins Four Points,Four Points,15,80,63,0,158
Johnson Wrightsville,Wrightsville,74,412,169,0,655
Johnson Smith,Smith,0,23,22,0,45
Johnson Bray,Bray,15,64,40,0,119
Johnson Kite,Kite,5,22,23,0,50
Jones Gray,Gray,44,286,106,0,436
Jones Hawkins,Hawkins,154,642,301,0,1097
Jones Ethridge,Ethridge,52,204,114,0,370
Jones Clinton,Clinton,48,242,90,1,381
Jones Roberts,Roberts,37,232,207,0,476
Jones Davidson,Davidson,22,84,45,0,151
Jones Pope,Pope,40,192,130,0,362
Jones Barron,Barron,38,119,60,0,217
Jones Sanders,Sanders,0,8,14,0,22
Jones Finney,Finney,64,227,187,0,478
Lamar Barnesville,Barnesville,111,423,213,0,747
Lamar Chappell Mill V. FD,Chappell Mill V. FD,28,95,68,0,191
Lamar Senior Citzen Bldg,Senior Citzen Bldg,23,158,76,0,257
Lamar Redbone,Redbone,11,32,29,0,72
Lamar L C S C,L C S C,56,228,115,0,399
Lamar Milner,Milner,56,261,156,0,473
Lanier Lakeland,Lakeland,40,430,255,0,725
Laurens FBC-FLC,FBC-FLC,104,518,295,0,917
Laurens Calhoun Park,Calhoun Park,241,903,620,0,1764
Laurens Fire Dept Station 5,Fire Dept Station 5,78,400,186,1,665
Laurens Buckeye,Buckeye,30,123,110,0,263
Laurens Burch,Burch,11,21,26,0,58
Laurens Cadwell,Cadwell,6,23,35,0,64
Laurens Brewton,Brewton,18,80,91,0,189
Laurens Dudley,Dudley,28,109,112,0,249
Laurens Hampton Mill,Hampton Mill,11,45,80,0,136
Laurens Minter,Minter,0,17,28,0,45
Laurens Rural Fire Station 7,Rural Fire Station 7,32,143,125,0,300
Laurens WT Adams Fire Station 18,WT Adams Fire Station 18,68,219,129,0,416
Laurens Reedy Springs,Reedy Springs,11,29,52,0,92
Laurens Smith,Smith,70,326,309,0,705
Laurens LCFS #10,LCFS #10,53,202,166,1,422
Lee Chokee,Chokee,25,55,54,0,134
Lee Redbone,Redbone,34,340,235,1,610
Lee Smithville ,Smithville ,20,81,126,0,227
Lee CJC,CJC,4,37,18,0,59
Lee Leesburg,Leesburg,40,297,181,1,519
Lee Friendship Baptist,Friendship Baptist,7,122,45,0,174
Lee First Baptist,First Baptist,65,472,307,0,844
Lee SDA Church,SDA Church,19,167,117,1,304
Lee Flint Reformed Baptist ,Flint Reformed Baptist ,21,177,154,0,352
Lee Century Fire Station,Century Fire Station,28,291,236,1,556
Liberty Riceboro,Riceboro,66,306,141,1,514
Liberty Lyman Hall,Lyman Hall,120,883,309,0,1312
Liberty Lewis Frasier,Lewis Frasier,60,501,169,0,730
Liberty Memorial Dr,Memorial Dr,66,391,128,0,585
Liberty Performing Arts CTR,Performing Arts CTR,56,413,177,0,646
Liberty Town of Allenhurst,Town of Allenhurst,55,393,146,0,594
Liberty Hinesville,Hinesville,70,559,248,0,877
Liberty Liberty County Complex,Liberty County Complex,166,928,212,1,1307
Liberty Victory Baptist,Victory Baptist,79,841,272,1,1193
Liberty Fleming East,Fleming East,49,255,145,1,450
Liberty Gum Branch,Gum Branch,67,409,158,0,634
Liberty Progressive Church,Progressive Church,76,529,168,0,773
Lincoln Midway,Midway,23,42,40,0,105
Lincoln Lincoln Club House,Lincoln Club House,48,133,103,0,284
Lincoln Lincoln Center,Lincoln Center,38,103,64,0,205
Lincoln Faith Temple of Lincoln,Faith Temple of Lincoln,15,47,36,0,98
Lincoln Tabernacle,Tabernacle,33,97,70,0,200
Lincoln Bethany Church,Bethany Church,5,29,15,0,49
Lincoln Martins Crossroad,Martins Crossroad,16,80,40,0,136
Long Breads Creek,Breads Creek,22,133,107,0,262
Long Rye Patch_Oak Dale,Rye Patch_Oak Dale,21,192,142,0,355
Long South Ludowici,South Ludowici,16,224,107,0,347
Long North Ludowici,North Ludowici,6,257,109,1,373
Long Tibet,Tibet,2,47,27,0,76
Long Alma Flournoy,Alma Flournoy,0,3,1,0,4
Long Faith Baptist Annex,Faith Baptist Annex,4,80,47,0,131
Lowndes Train Depot,Train Depot,26,201,141,0,368
Lowndes Historical Society ,Historical Society ,7,103,57,0,167
Lowndes Hahira Community Center ,Hahira Community Center ,5,73,49,1,128
Lowndes Pine Grove Church,Pine Grove Church,24,231,70,0,325
Lowndes Trinity Church,Trinity Church,57,513,199,2,771
