ID,Counties,Absentee by Mail Votes,Advance Voting Votes,Election Day Votes,Provisional Votes,Total
Richmond 405,405,12,130,108,0,250
Richmond 406,406,7,60,74,0,141
Richmond 501,501,14,73,76,0,163
Richmond 502,502,7,53,73,0,133
Richmond 503,503,11,96,80,0,187
Richmond 504,504,38,260,519,0,817
Richmond 505,505,5,56,23,0,84
Richmond 506,506,23,78,155,0,256
Richmond 507,507,3,39,53,0,95
Richmond 601,601,18,162,253,1,434
Richmond 602,602,2,11,26,0,39
Richmond 604,604,5,51,166,0,222
Richmond 605,605,32,215,341,0,588
Richmond 606,606,8,50,40,0,98
Richmond 607,607,11,54,74,1,140
Richmond 608,608,1,19,51,0,71
Richmond 701,701,41,438,529,0,1008
Richmond 702,702,20,197,343,0,560
Richmond 703,703,34,290,439,1,764
Richmond 704,704,20,122,118,0,260
Richmond 705,705,48,372,400,0,820
Richmond 706,706,51,824,469,0,1344
Richmond 707,707,17,249,261,0,527
Richmond 708,708,5,35,97,0,137
Richmond 709,709,10,91,73,0,174
Richmond 801,801,4,8,75,0,87
Richmond 801B,801B,6,18,186,0,210
Richmond 802,802,28,230,792,0,1050
Richmond 803,803,0,1,10,0,11
Richmond 804,804,16,156,254,0,426
Richmond 804H,804H,34,250,499,0,783
Richmond 805,805,6,39,91,1,137
Richmond 806,806,17,219,596,0,832
Richmond 807,807,7,67,112,0,186
Richmond 808,808,22,197,439,0,658
Richmond 810,810,3,60,104,0,167
Richmond 811,811,3,22,100,0,125
Rockdale BA,BA,51,557,378,1,987
Rockdale BT,BT,52,610,638,0,1300
Rockdale CO,CO,17,195,121,0,333
Rockdale FI,FI,24,285,112,0,421
Rockdale FS,FS,32,298,133,0,463
Rockdale HC,HC,21,316,222,0,559
Rockdale HI,HI,24,352,242,0,618
Rockdale LA,LA,13,135,105,0,253
Rockdale LO,LO,44,408,503,0,955
Rockdale MA,MA,33,349,353,0,735
Rockdale MI,MI,21,249,137,1,408
Rockdale OT,OT,28,249,107,1,385
Rockdale RO,RO,40,458,191,0,689
Rockdale SM,SM,26,357,201,2,586
Rockdale SP,SP,51,374,153,0,578
Rockdale ST,ST,58,452,157,1,668
Schley Precinct One,Precinct One,48,962,516,0,1526
Screven Sylvania,Sylvania,31,227,118,0,376
Screven Hunters,Hunters,5,73,112,0,190
Screven Newington,Newington,2,137,286,0,425
Screven Jenk Hill Fire Sta,Jenk Hill Fire Sta,8,188,147,0,343
Screven Rocky Ford,Rocky Ford,3,116,151,0,270
Screven Bay Branch,Bay Branch,10,266,246,0,522
Screven Hiltonia,Hiltonia,3,150,128,0,281
Screven Screven Rec Dept,Screven Rec Dept,6,57,51,0,114
Screven Greenhill Church,Greenhill Church,8,226,202,0,436
Screven Sr Citizens Center,Sr Citizens Center,7,185,64,0,256
Screven Jackson Fire Station,Jackson Fire Station,3,71,94,0,168
Screven Cooperville Fire Station,Cooperville Fire Station,0,13,28,0,41
Seminole Precinct 1,Precinct 1,21,240,315,0,576
Seminole Precinct 2,Precinct 2,19,210,185,0,414
Seminole Precinct 3,Precinct 3,1,31,39,0,71
Seminole Precinct 4,Precinct 4,12,176,305,1,494
Seminole Precinct 5,Precinct 5,15,216,469,0,700
Spalding 01,01,3,27,34,0,64
Spalding 02,02,7,34,30,0,71
Spalding 03,03,60,894,423,0,1377
Spalding 05,05,35,371,235,2,643
Spalding 06,06,15,133,67,0,215
Spalding 07,07,31,440,337,0,808
Spalding 08,08,31,464,315,0,810
Spalding 09,09,35,395,467,0,897
Spalding 10,10,24,415,334,0,773
Spalding 11,11,34,579,457,0,1070
Spalding 12,12,46,487,521,0,1054
Spalding 13,13,41,468,641,2,1152
Spalding 14,14,16,218,396,0,630
Spalding 16,16,46,312,234,2,594
